model,tolerance,point_id,time,rewards,result
SMPL,1.0E-4,40,3.0979369E7,3.28994793344639E-4;0.0420920479669936,1.6284643797568592
SMPL,1.0E-4,41,3.156248E7,0.0476118792310628;0.133153532080344,1.3792345788280775
SMPL,1.0E-4,42,2.95873E7,4.83170543157996E-4;0.0697264218972599,1.571037103261288
SMPL,1.0E-4,43,3.0956045E7,9.10072223930969E-4;0.0962486215141086,1.5169521560265808
SMPL,1.0E-4,44,2.9668082E7,9.3871757083086E-4;0.132810679635762,1.4455136593341091
SMPL,1.0E-4,45,3.094808E7,4.15905430409313E-4;0.0429812262681134,1.626473648949712
SMPL,1.0E-4,46,3.1317288E7,0.00229870565302914;0.0977312581539438,1.5119895394996472
SMPL,1.0E-4,47,3.1583528E7,8.62857564155439E-4;0.0611493536896816,1.5880764152082087
SMPL,1.0E-4,48,3.0510605E7,7.6124735427241E-4;0.0950005579796027,1.5196527364150665
SMPL,1.0E-4,49,3.2143315E7,5.49285878991002E-4;0.0450957297483494,1.62185254665348
SMPL,1.0E-6,0,3.0002019E7,0.00161061214900526;0.0907993537714952,1.5268049916432622
SMPL,1.0E-6,1,3.1936808E7,0.0324097060829071;0.0699558861463325,1.525180064532389
SMPL,1.0E-6,2,3.0493539E7,0.0027676290646455;0.184651484202579,1.3462104870429148
SMPL,1.0E-6,3,3.1032845E7,0.00314475085342486;0.0635398227496928,1.5798489393914887
SMPL,1.0E-6,4,3.1489093E7,3.10080103623378E-4;0.0410683997196451,1.6306401672562418
SMPL,1.0E-6,5,3.1407174E7,8.36148160542616E-4;0.0883874521502612,1.5327597396519002
SMPL,1.0E-6,6,3.0149362E7,9.3094464093979E-4;0.0881686676314353,1.5330607416717723
SMPL,1.0E-6,7,3.0527104E7,0.00998701290141263;0.107166038631845,1.482249188944917
SMPL,1.0E-6,8,3.0275085E7,9.96676721870204E-4;0.058106008902764,1.5941591078055162
SMPL,1.0E-6,9,3.1733146E7,0.0938098048418869;4.79903610582758,14.15148123286293
SMPL,1.0E-6,10,3.0272241E7,5.56183445534375E-4;0.0566374050101594,1.597834855324356
SMPL,1.0E-6,11,3.2199065E7,0.0112280632295487;1.09599832155577,0.512745861173283
SMPL,1.0E-6,12,3.0727921E7,0.00119468680471141;0.0834394054543598,1.5421844879601263
SMPL,1.0E-6,13,3.1239351E7,0.00187287900052835;0.171016527279728,1.3724072684939286
SMPL,1.0E-6,14,3.1000987E7,0.00147964493175651;0.134368718299142,1.4417450828067846
SMPL,1.0E-6,15,3.1234232E7,6.98455282191812E-4;0.0639549011420947,1.5825450805985617
SMPL,1.0E-6,16,3.0360419E7,6.59585417807695E-4;0.0776061654985879,1.5547494765617582
SMPL,1.0E-6,17,3.1150604E7,0.00112123334394282;0.0607072297396036,1.5886118668920783
SMPL,1.0E-6,18,3.1557928E7,5.09688640963069E-4;0.058646388158555,1.5937508018111137
SMPL,1.0E-6,19,3.3927348E7,0.00114958800013892;0.0450682782626899,1.621037818783961
SMPL,1.0E-6,20,3.0787085E7,8.96680785313353E-4;0.0643248786857269,1.5814973056969481
SMPL,1.0E-6,21,3.2170621E7,5.59995312817141E-4;0.0519760517812946,1.6074932545839529
SMPL,1.0E-6,22,3.0895174E7,0.00137914758512897;0.0913438317612194,1.5260521963270248
SMPL,1.0E-6,23,3.0935564E7,0.00238624411796634;0.0640884506186313,1.5798210407869848
SMPL,1.0E-6,24,3.0268259E7,0.00115599347435574;0.121507058014083,1.4669858124829869
SMPL,1.0E-6,25,3.0921911E7,0.00309176390655153;0.0593303046271527,1.5885928600088768
SMPL,1.0E-6,26,3.0055495E7,5.39398529072421E-4;0.0802906730943138,1.5494909175332743
SMPL,1.0E-6,27,3.1136951E7,0.00107653360723908;0.046186463052093,1.6188062808506722
SMPL,1.0E-6,28,3.0657378E7,0.00157722713406305;0.0975998803396799,1.51329714672353
SMPL,1.0E-6,29,3.1172791E7,8.56022747481422E-4;0.100672125297528,1.5082504766769116
SMPL,1.0E-6,30,2.9395585E7,0.00130640424263317;0.049937489888412,1.610648976305388
SMPL,1.0E-6,31,3.0951494E7,8.11936423620097E-4;0.0680843614474882,1.5739157078393087
SMPL,1.0E-6,32,3.0758071E7,4.7970214133064E-4;0.0659217653692665,1.5788271188969265
SMPL,1.0E-6,33,3.369581E7,0.00114430988881198;0.0467252964934058,1.617582275052805
SMPL,1.0E-6,34,3.016017E7,0.0036076173835714;0.507101734571901,0.8645222205843011
SMPL,1.0E-6,35,3.1655208E7,0.002270324214111;0.0618063791837882,1.5846808757211375
SMPL,1.0E-6,36,3.0818374E7,5.95271337681114E-4;0.049232781368628,1.6131496588220668
SMPL,1.0E-6,37,3.1822462E7,6.82592887601141E-4;0.0541051983161397,1.602895535081689
SMPL,1.0E-6,38,3.0607886E7,0.00577164681070252;0.0624138850625177,1.5783661975572514
SMPL,1.0E-6,39,3.0664774E7,9.33343145747778E-4;0.0535517752536725,1.603679101277773
SMPL,1.0E-6,40,3.1241058E7,3.28994793344639E-4;0.0420920479669936,1.6284643797568592
SMPL,1.0E-6,41,3.1750782E7,0.0476118792310628;0.133153532080344,1.3792345788280775
SMPL,1.0E-6,42,3.0875832E7,4.83170543157996E-4;0.0697264218972599,1.571037103261288
SMPL,1.0E-6,43,3.2606958E7,9.10072223930969E-4;0.0962486215141086,1.5169521560265808
SMPL,1.0E-6,44,3.0522553E7,9.3871757083086E-4;0.132810679635762,1.4455136593341091
SMPL,1.0E-6,45,3.138328E7,4.15905430409313E-4;0.0429812262681134,1.626473648949712
SMPL,1.0E-6,46,2.9715869E7,0.00229870565302914;0.0977312581539438,1.5119895394996472
SMPL,1.0E-6,47,3.2059119E7,8.62857564155439E-4;0.0611493536896816,1.5880764152082087
SMPL,1.0E-6,48,3.1003831E7,7.6124735427241E-4;0.0950005579796027,1.5196527364150665
SMPL,1.0E-6,49,3.1144347E7,5.49285878991002E-4;0.0450957297483494,1.62185254665348
SMPL,1.0E-8,0,3.0953769E7,0.00161061214900526;0.0907993537714952,1.5268049916432622
SMPL,1.0E-8,1,3.1193271E7,0.0324097060829071;0.0699558861463325,1.525180064532389
SMPL,1.0E-8,2,3.1209769E7,0.0027676290646455;0.184651484202579,1.3462104870429148
SMPL,1.0E-8,3,3.1561342E7,0.00314475085342486;0.0635398227496928,1.5798489393914887
SMPL,1.0E-8,4,3.1078924E7,3.10080103623378E-4;0.0410683997196451,1.6306401672562418
SMPL,1.0E-8,5,3.1721769E7,8.36148160542616E-4;0.0883874521502612,1.5327597396519002
SMPL,1.0E-8,6,3.0330837E7,9.3094464093979E-4;0.0881686676314353,1.5330607416717723
SMPL,1.0E-8,7,3.201759E7,0.00998701290141263;0.107166038631845,1.482249188944917
SMPL,1.0E-8,8,3.0899157E7,9.96676721870204E-4;0.058106008902764,1.5941591078055162
SMPL,1.0E-8,9,3.1216596E7,0.0938098048418869;4.79903610582758,14.15148123286293
SMPL,1.0E-8,10,3.0767174E7,5.56183445534375E-4;0.0566374050101594,1.597834855324356
SMPL,1.0E-8,11,3.2187688E7,0.0112280632295487;1.09599832155577,0.512745861173283
SMPL,1.0E-8,12,3.0732472E7,0.00119468680471141;0.0834394054543598,1.5421844879601263
SMPL,1.0E-8,13,3.0689806E7,0.00187287900052835;0.171016527279728,1.3724072684939286
SMPL,1.0E-8,14,3.1002694E7,0.00147964493175651;0.134368718299142,1.4417450828067846
SMPL,1.0E-8,15,3.3671917E7,6.98455282191812E-4;0.0639549011420947,1.5825450805985617
SMPL,1.0E-8,16,3.1262676E7,6.59585417807695E-4;0.0776061654985879,1.5547494765617582
SMPL,1.0E-8,17,3.2101216E7,0.00112123334394282;0.0607072297396036,1.5886118668920783
SMPL,1.0E-8,18,3.1154018E7,5.09688640963069E-4;0.058646388158555,1.5937508018111137
SMPL,1.0E-8,19,3.097368E7,0.00114958800013892;0.0450682782626899,1.621037818783961
SMPL,1.0E-8,20,3.1037964E7,8.96680785313353E-4;0.0643248786857269,1.5814973056969481
SMPL,1.0E-8,21,3.1908364E7,5.59995312817141E-4;0.0519760517812946,1.6074932545839529
SMPL,1.0E-8,22,3.1811084E7,0.00137914758512897;0.0913438317612194,1.5260521963270248
SMPL,1.0E-8,23,3.0995867E7,0.00238624411796634;0.0640884506186313,1.5798210407869848
SMPL,1.0E-8,24,3.102488E7,0.00115599347435574;0.121507058014083,1.4669858124829869
SMPL,1.0E-8,25,3.1163689E7,0.00309176390655153;0.0593303046271527,1.5885928600088768
SMPL,1.0E-8,26,3.0785948E7,5.39398529072421E-4;0.0802906730943138,1.5494909175332743
SMPL,1.0E-8,27,3.0682979E7,0.00107653360723908;0.046186463052093,1.6188062808506722
SMPL,1.0E-8,28,3.0312063E7,0.00157722713406305;0.0975998803396799,1.51329714672353
SMPL,1.0E-8,29,3.1619937E7,8.56022747481422E-4;0.100672125297528,1.5082504766769116
SMPL,1.0E-8,30,3.0062322E7,0.00130640424263317;0.049937489888412,1.610648976305388
SMPL,1.0E-8,31,3.1847492E7,8.11936423620097E-4;0.0680843614474882,1.5739157078393087
SMPL,1.0E-8,32,3.076945E7,4.7970214133064E-4;0.0659217653692665,1.5788271188969265
SMPL,1.0E-8,33,3.1588648E7,0.00114430988881198;0.0467252964934058,1.617582275052805
SMPL,1.0E-8,34,3.0689805E7,0.0036076173835714;0.507101734571901,0.8645222205843011
SMPL,1.0E-8,35,3.180255E7,0.002270324214111;0.0618063791837882,1.5846808757211375
SMPL,1.0E-8,36,3.0118072E7,5.95271337681114E-4;0.049232781368628,1.6131496588220668
SMPL,1.0E-8,37,3.1089165E7,6.82592887601141E-4;0.0541051983161397,1.602895535081689
SMPL,1.0E-8,38,3.0401379E7,0.00577164681070252;0.0624138850625177,1.5783661975572514
SMPL,1.0E-8,39,3.0870143E7,9.33343145747778E-4;0.0535517752536725,1.603679101277773
SMPL,1.0E-8,40,3.0700045E7,3.28994793344639E-4;0.0420920479669936,1.6284643797568592
SMPL,1.0E-8,41,3.1553946E7,0.0476118792310628;0.133153532080344,1.3792345788280775
SMPL,1.0E-8,42,3.0848525E7,4.83170543157996E-4;0.0697264218972599,1.571037103261288
SMPL,1.0E-8,43,3.1532329E7,9.10072223930969E-4;0.0962486215141086,1.5169521560265808
SMPL,1.0E-8,44,3.0681272E7,9.3871757083086E-4;0.132810679635762,1.4455136593341091
SMPL,1.0E-8,45,3.0653396E7,4.15905430409313E-4;0.0429812262681134,1.626473648949712
SMPL,1.0E-8,46,3.0343922E7,0.00229870565302914;0.0977312581539438,1.5119895394996472
SMPL,1.0E-8,47,3.2852718E7,8.62857564155439E-4;0.0611493536896816,1.5880764152082087
SMPL,1.0E-8,48,3.0744988E7,7.6124735427241E-4;0.0950005579796027,1.5196527364150665
SMPL,1.0E-8,49,3.1387831E7,5.49285878991002E-4;0.0450957297483494,1.62185254665348
SMPL,1.0E-10,0,3.0009416E7,0.00161061214900526;0.0907993537714952,1.5268049916432622
SMPL,1.0E-10,1,3.1479991E7,0.0324097060829071;0.0699558861463325,1.525180064532389
SMPL,1.0E-10,2,3.0739299E7,0.0027676290646455;0.184651484202579,1.3462104870429148
SMPL,1.0E-10,3,3.1161414E7,0.00314475085342486;0.0635398227496928,1.5798489393914887
SMPL,1.0E-10,4,3.1011227E7,3.10080103623378E-4;0.0410683997196451,1.6306401672562418
SMPL,1.0E-10,5,3.1276898E7,8.36148160542616E-4;0.0883874521502612,1.5327597396519002
SMPL,1.0E-10,6,3.0519708E7,9.3094464093979E-4;0.0881686676314353,1.5330607416717723
SMPL,1.0E-10,7,3.1436755E7,0.00998701290141263;0.107166038631845,1.482249188944917
SMPL,1.0E-10,8,3.0664774E7,9.96676721870204E-4;0.058106008902764,1.5941591078055162
SMPL,1.0E-10,9,3.0945236E7,0.0938098048418869;4.79903610582758,14.15148123286293
SMPL,1.0E-10,10,3.0850232E7,5.56183445534375E-4;0.0566374050101594,1.597834855324356
SMPL,1.0E-10,11,3.1578409E7,0.0112280632295487;1.09599832155577,0.512745861173283
SMPL,1.0E-10,12,3.0920773E7,0.00119468680471141;0.0834394054543598,1.5421844879601263
SMPL,1.0E-10,13,3.1271208E7,0.00187287900052835;0.171016527279728,1.3724072684939286
SMPL,1.0E-10,14,3.0753521E7,0.00147964493175651;0.134368718299142,1.4417450828067846
SMPL,1.0E-10,15,3.0287601E7,6.98455282191812E-4;0.0639549011420947,1.5825450805985617
SMPL,1.0E-10,16,3.1928275E7,6.59585417807695E-4;0.0776061654985879,1.5547494765617582
SMPL,1.0E-10,17,3.0632348E7,0.00112123334394282;0.0607072297396036,1.5886118668920783
SMPL,1.0E-10,18,3.1335493E7,5.09688640963069E-4;0.058646388158555,1.5937508018111137
SMPL,1.0E-10,19,3.1182462E7,0.00114958800013892;0.0450682782626899,1.621037818783961
SMPL,1.0E-10,20,3.152095E7,8.96680785313353E-4;0.0643248786857269,1.5814973056969481
SMPL,1.0E-10,21,3.0820649E7,5.59995312817141E-4;0.0519760517812946,1.6074932545839529
SMPL,1.0E-10,22,3.1506159E7,0.00137914758512897;0.0913438317612194,1.5260521963270248
SMPL,1.0E-10,23,3.088664E7,0.00238624411796634;0.0640884506186313,1.5798210407869848
SMPL,1.0E-10,24,3.1127849E7,0.00115599347435574;0.121507058014083,1.4669858124829869
SMPL,1.0E-10,25,3.0693788E7,0.00309176390655153;0.0593303046271527,1.5885928600088768
SMPL,1.0E-10,26,3.1115333E7,5.39398529072421E-4;0.0802906730943138,1.5494909175332743
SMPL,1.0E-10,27,3.0887209E7,0.00107653360723908;0.046186463052093,1.6188062808506722
SMPL,1.0E-10,28,3.1558498E7,0.00157722713406305;0.0975998803396799,1.51329714672353
SMPL,1.0E-10,29,3.0586267E7,8.56022747481422E-4;0.100672125297528,1.5082504766769116
SMPL,1.0E-10,30,3.0971404E7,0.00130640424263317;0.049937489888412,1.610648976305388
SMPL,1.0E-10,31,3.0926463E7,8.11936423620097E-4;0.0680843614474882,1.5739157078393087
SMPL,1.0E-10,32,3.0710285E7,4.7970214133064E-4;0.0659217653692665,1.5788271188969265
SMPL,1.0E-10,33,3.0793911E7,0.00114430988881198;0.0467252964934058,1.617582275052805
SMPL,1.0E-10,34,3.1423102E7,0.0036076173835714;0.507101734571901,0.8645222205843011
SMPL,1.0E-10,35,3.0968561E7,0.002270324214111;0.0618063791837882,1.5846808757211375
SMPL,1.0E-10,36,3.1013502E7,5.95271337681114E-4;0.049232781368628,1.6131496588220668
SMPL,1.0E-10,37,3.0222748E7,6.82592887601141E-4;0.0541051983161397,1.602895535081689
SMPL,1.0E-10,38,3.0938978E7,0.00577164681070252;0.0624138850625177,1.5783661975572514
SMPL,1.0E-10,39,3.0059477E7,9.33343145747778E-4;0.0535517752536725,1.603679101277773
SMPL,1.0E-10,40,3.1437893E7,3.28994793344639E-4;0.0420920479669936,1.6284643797568592
SMPL,1.0E-10,41,3.0865592E7,0.0476118792310628;0.133153532080344,1.3792345788280775
SMPL,1.0E-10,42,3.1417982E7,4.83170543157996E-4;0.0697264218972599,1.571037103261288
SMPL,1.0E-10,43,3.1757039E7,9.10072223930969E-4;0.0962486215141086,1.5169521560265808
SMPL,1.0E-10,44,3.1059014E7,9.3871757083086E-4;0.132810679635762,1.4455136593341091
SMPL,1.0E-10,45,3.0482161E7,4.15905430409313E-4;0.0429812262681134,1.626473648949712
SMPL,1.0E-10,46,3.1167102E7,0.00229870565302914;0.0977312581539438,1.5119895394996472
SMPL,1.0E-10,47,3.0872419E7,8.62857564155439E-4;0.0611493536896816,1.5880764152082087
SMPL,1.0E-10,48,3.1647243E7,7.6124735427241E-4;0.0950005579796027,1.5196527364150665
SMPL,1.0E-10,49,3.2595011E7,5.49285878991002E-4;0.0450957297483494,1.62185254665348
VCLS,0.01,0,5.44542515E8,0.00237214371811222;578.1741249237;1.27381313212061;-0.00414907226152604;15.2964728506719;5.14068211603738;-9.1645726965531E-4,328466.0274437478
VCLS,0.01,1,5.8850334E7,4.940554500675E-4;693.556800818484;0.987136114349712;0.00113198708166587;12.8490173324377;4.99038182456977;-6.2519726546247E-5,473940.7349325937
VCLS,0.01,2,5.6480347E7,3.78903987065141E-4;10203.8476912611;0.0207488703914049;0.0190931224529755;6.30688067401394;2.51369155107139;6.83734014538603E-4,1.0401223548928238E8
VCLS,0.01,3,5.8689908E7,0.00143200336990352;769.050473448738;0.966975117967439;0.00186822270750388;12.7613648479607;4.98937762845029;-1.271674445622E-5,583569.877536845
VCLS,0.01,4,6.1202118E7,4.48238935780056E-4;776.335110129075;0.976785446549838;8.42552827411535E-4;12.8914912338043;5.00037262115676;-4.40171399009485E-5,594754.3543395023
VCLS,0.01,5,6.0632091E7,6.25758621702429E-4;7572.29433784848;0.0228975405226212;0.0182345358880731;6.36555358959568;2.56617088607156;9.75462793210679E-4,5.726078826969779E7
VCLS,0.01,6,5.8083473E7,9.40336253035808E-4;920.470667462862;0.908100163352265;0.00255492832633979;12.6693710488449;5.02214597555767;2.16086475213886E-5,837818.0036599301
VCLS,0.01,7,5.9153552E7,0.00108825854516024;977.182308004091;0.926216335164242;0.00266959326663116;12.5216681385648;4.9907018746567;4.77910546559947E-5,944842.965257805
VCLS,0.01,8,5.9065374E7,0.00144967032559618;5127.44383595054;0.490801543573231;0.0133303139277254;11.5010399912738;5.22088823014172;8.65762297070566E-5,2.623737700350464E7
VCLS,0.01,9,5.4568313E7,0.0010787155134589;324.913305089704;0.0233032529716544;0.0175332593609737;6.37881240123553;2.58070995095269;0.00101835689001707,102226.76402890492
VCLS,0.01,10,5.7249483E7,0.00112864284852776;296.253426635195;0.977870708734711;0.00176228420170444;12.8099180114629;4.99010965506424;-3.3038676604707E-5,84824.50123607815
VCLS,0.01,11,5.851469E7,5.24068430951123E-4;84.6022359004409;0.968327342858486;0.00206195551158933;12.6935578413447;4.94610390949396;2.5645038385014E-5,6418.482376979329
VCLS,0.01,12,6.6733985E7,5.68776540340339E-4;157.950603130847;0.999472900518479;-2.05331605599865E-5;12.8842078411455;5.0404281276079;-6.22943192894714E-5,23449.679545208906
VCLS,0.01,13,5.7574887E7,3.60236782615771E-4;954.220222061281;0.0211653504074979;0.0199548607446833;6.31818807142712;2.5237596985177;6.1278544617973E-4,900636.9966702727
VCLS,0.01,14,5.7090763E7,3.34033894741565E-4;1933.38427287314;0.861740968680797;0.00305381889644888;12.1154788682195;4.86438891970072;9.37649112361971E-5,3717960.7793275905
VCLS,0.01,15,5.7967989E7,9.08932050177046E-4;0.38934811345207;1.02875830232307;-0.00148281433145659;13.2018464571388;5.00063624815534;-2.64463937021318E-4,149.7028640072233
VCLS,0.01,16,5.6528702E7,5.5999401746189E-4;310.371650784672;0.119182741513464;0.0170391880726995;8.60413821419148;4.2290796070073;2.19489440842932E-4,93167.05840611727
VCLS,0.01,17,6.3047022E7,7.33842764652634E-4;47.1627553850358;0.946558863602221;0.00102812459245995;13.0498101283151;4.98721732658862;-4.87676850840582E-5,1883.0296525203303
VCLS,0.01,18,6.9569892E7,6.88248414842653E-4;3746.34917139577;0.848667426872732;0.00484934565505793;11.9046546365896;4.70848858322572;2.44601949916578E-4,1.3996223763353024E7
